s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.8036175,43128.8719252,-1.8020730,-0.0425740, 9.8081139, -5.1910739
1.0392392,89656.5447252,43127.8654497,-1.8633191,-0.0832858, 9.2642786, -1.1713363
2.0179175,89656.2222262,43126.9414337,-1.9706154,-0.1317111, 9.1370904, -0.3877113
2.9900283,89655.7869433,43126.0722224,-2.1070036,-0.1441911, 9.0945994, -0.3877113
3.9878011,89655.2183893,43125.2522853,-2.2441022,-0.1334453, 9.0519090, 0.7791217
4.9921826,89654.5412363,43124.5104996,-2.3773308,-0.1309501, 9.1374949, 0.5228389
6.0101924,89653.7616370,43123.8558479,-2.4999785,-0.1135306, 9.1944816, 2.0276300
7.0123349,89652.9254896,43123.3034467,-2.6001463,-0.0870955, 9.4122198, 3.9057897
7.9855209,89652.0704164,43122.8387523,-2.6764873,-0.0671165, 9.8180449, 4.8481531
8.9599322,89651.1857065,43122.4303826,-2.7338932,-0.0488442, 10.2995660, 4.8027450
9.9732554,89650.2461430,43122.0508509,-2.7711678,-0.0281356, 10.7553420, 4.7577623
10.9312995,89649.3482264,43121.7167936,-2.8072183,-0.0437220, 11.1885578, -3.7026709
11.9282856,89648.3998121,43121.4093989,-2.8649045,-0.0700883, 10.8529052, -1.8281422
12.9767385,89647.3818476,43121.1583971,-2.9448784,-0.0902763, 10.6832933, -1.7710401
13.9744875,89646.3952112,43121.0098990,-3.0398837,-0.0949445, 10.5163708, -1.8122499
14.9788437,89645.3923377,43120.9553454,-3.1376195,-0.1005930, 10.3427760, -0.4967831
15.9803163,89644.3919496,43121.0019396,3.0388238,-0.1120504, 10.2946781, -0.4967831
16.9839060,89643.4009995,43121.1607165,2.9272114,-0.1112713, 10.2463544, -0.2127418
17.9815552,89642.4395519,43121.4270293,2.8220614,-0.0991910, 10.2255905, 1.1258149
18.9758920,89641.5121491,43121.7856791,2.7298657,-0.0846094, 10.3349979, 2.4303287
19.9856272,89640.6046079,43122.2283236,2.6537224,-0.0673711, 10.5673176, 3.9820148
20.9972872,89639.7276184,43122.7326502,2.5945924,-0.0508085, 10.9373045, 4.7392595
21.9859644,89638.8966940,43123.2684182,2.5505755,-0.0362034, 11.3619586, 4.6948714
22.9978270,89638.0666938,43123.8471802,2.5195464,-0.0261385, 11.7675352, 4.6508990
24.0026590,89637.2578933,43124.4434428,2.4982556,-0.0166255, 12.1559782, 4.6073384
24.9730318,89636.4863887,43125.0320039,2.4873838,-0.0051925, 12.5289141, 4.5641858
25.9432376,89635.7179915,43125.6243425,2.4851573,0.0005909, 12.8877208, 4.5214374
26.9341155,89634.9328717,43126.2288472,2.4872492,0.0035507, 13.2335782, 4.4790894
27.9509870,89634.1249499,43126.8463339,2.4893600,0.0007278, 13.5675061, 4.4371380
28.9173718,89633.3567172,43127.4326088,2.4838674,-0.0115933, 13.8903934, 4.3955796
29.9287630,89632.5597936,43128.0553646,2.4663596,-0.0230116, 14.2030207, 4.3544103
30.9635395,89631.7596685,43128.7115371,2.4384228,-0.0322503, 14.5060783, 4.0388825
31.9743799,89630.9996168,43129.3779602,2.4029747,-0.0373339, 14.7816225, 2.6500026
32.9794781,89630.2693478,43130.0685611,2.3624671,-0.0440116, 14.9596561, -1.0392877
33.9627828,89629.5851506,43130.7747921,2.3136977,-0.0525318, 14.8900879, -1.0392877
34.9774544,89628.9183266,43131.5395824,2.2620098,-0.0519992, 14.8201932, -0.5278977
35.9721097,89628.3046967,43132.3223963,2.2137574,-0.0443956, 14.7845642, 1.2132361
36.9573987,89627.7315022,43133.1237966,2.1748069,-0.0340465, 14.8663208, 3.5565045
37.9484739,89627.1823835,43133.9488413,2.1451244,-0.0258460, 15.1034339, 4.2307170
38.9474343,89626.6504633,43134.7944078,2.1227707,-0.0189912, 15.3807371, 4.1910918
39.9527461,89626.1314520,43135.6553835,2.1070606,-0.0124931, 15.6505993, 4.1518378
40.9492077,89625.6277208,43136.5151454,2.0976883,-0.0061910, 15.9134223, 4.1129515
